scenario,reynolds,timesteps,p,aa_iterations_proxy,quantum_collision_only_seconds_proxy,best_measured_classical_seconds,ratio_quantum_collision_only_to_classical,omitted_quantum_costs
pessimistic,400,1000,0.0063156770124785,10.0,1938.048,0.17981715699988854,10777.881445435161,"state preparation, global streaming, extraction, routing between blocks"
pessimistic,1000,10,0.0063118835489593,10.0,19.38048,0.19029847899946617,101.84253758567543,"state preparation, global streaming, extraction, routing between blocks"
pessimistic,1000,100,0.0063118835489593,10.0,193.8048,0.19029847899946617,1018.4253758567543,"state preparation, global streaming, extraction, routing between blocks"
pessimistic,1000,1000,0.0063118835489593,10.0,1938.048,0.19029847899946617,10184.253758567544,"state preparation, global streaming, extraction, routing between blocks"
pessimistic,2000,10,0.0063118835489593,10.0,19.38048,0.18523989299956156,104.62368384139516,"state preparation, global streaming, extraction, routing between blocks"
pessimistic,2000,100,0.0063118835489593,10.0,193.8048,0.18523989299956156,1046.2368384139518,"state preparation, global streaming, extraction, routing between blocks"
pessimistic,2000,1000,0.0063118835489593,10.0,1938.048,0.18523989299956156,10462.368384139518,"state preparation, global streaming, extraction, routing between blocks"
pessimistic,5000,10,0.0063118835489593,10.0,19.38048,0.18338175499957288,105.68379607908724,"state preparation, global streaming, extraction, routing between blocks"
pessimistic,5000,100,0.0063118835489593,10.0,193.8048,0.18338175499957288,1056.8379607908726,"state preparation, global streaming, extraction, routing between blocks"
pessimistic,5000,1000,0.0063118835489593,10.0,1938.048,0.18338175499957288,10568.379607908726,"state preparation, global streaming, extraction, routing between blocks"
